Group,subID,trial,TimePressure,TimeConstraint,Vagueness,Vaguenesscode,ID1,ID2,ID3,V1,V2,V3,ID_left,ID_middle,ID_right,Bid_left,Bid_middle,Bid_right,chosenItem,RT,RTvariance,chosenPosition,chosenID,chosenValue,fixation_time,option_time,choice_time,feedback_time,timeout,Definitive,sdV1,sdV2,sdV3
1,22102402,32,High,1.5,Vague,1,16,17,32,64.9,90,7.5,32,17,16,7.5,90,64.9,2,0.746,0,D,17,90,97.496,100.141,100.887,100.89,0,0,12.09802555,0.047140452,0.833999734
1,22102402,33,High,1.5,Precise,0,15,16,8,42.7,64.9,6.6,16,8,15,64.9,6.6,42.7,1,1.092,0,R,15,42.7,101.392,102.931,104.023,104.026,0,1,1.067707825,12.09802555,2.662079388
1,22102402,34,High,1.5,Vague,1,10,15,23,31.7,42.7,2.3,15,23,10,42.7,2.3,31.7,2,0.674,0.001,L,15,42.7,104.529,106.982,107.655,107.658,0,0,1.219289411,1.067707825,0.899382504
1,22102402,35,High,1.5,Vague,1,14,18,32,17.3,89.9,7.5,32,18,14,7.5,89.9,17.3,1,0.942,0.001,R,14,17.3,108.161,109.657,110.599,110.602,0,0,1.465908895,0.141421356,0.833999734
1,22102402,36,High,1.5,Vague,1,15,17,20,42.7,90,2.6,15,17,20,42.7,90,2.6,2,0.729,0,D,17,90,111.104,113.47,114.199,114.202,0,0,1.067707825,0.047140452,0.571547607
1,22102402,37,High,1.5,Vague,1,14,15,27,17.3,42.7,6.4,14,27,15,17.3,6.4,42.7,2,0.976,0,R,15,42.7,114.704,117.655,118.631,118.634,0,0,1.465908895,1.067707825,0.804155872
1,22102402,38,High,1.5,Precise,0,15,16,12,42.7,64.9,11.7,16,15,12,64.9,42.7,11.7,1,0.853,0.001,D,15,42.7,119.136,120.266,121.119,121.122,0,1,1.067707825,12.09802555,3.024345659
1,22102402,39,High,1.5,Precise,0,10,17,6,31.7,90,4.4,10,17,6,31.7,90,4.4,2,0.643,0.001,D,17,90,121.624,122.493,123.136,123.138,0,1,1.219289411,0.047140452,1.54344492
1,22102402,40,High,1.5,Precise,0,10,16,9,31.7,64.9,6.4,9,10,16,6.4,31.7,64.9,1,1.089,0,D,10,31.7,123.641,124.183,125.271,125.274,0,1,1.219289411,12.09802555,2.407396011
1,22102402,41,High,1.5,Precise,0,14,18,9,17.3,89.9,6.4,9,14,18,6.4,17.3,89.9,2,0.982,0,R,18,89.9,125.777,128.129,129.111,129.114,0,1,1.465908895,0.141421356,2.407396011
1,22102402,42,High,1.5,Vague,1,15,17,36,42.7,90,9.3,36,17,15,9.3,90,42.7,2,0.668,0,D,17,90,129.617,131.459,132.128,132.13,0,0,1.067707825,0.047140452,1.020892855
1,22102402,43,High,1.5,Vague,1,14,18,36,17.3,89.9,9.3,36,14,18,9.3,17.3,89.9,2,0.878,0.001,R,18,89.9,132.633,135.034,135.912,135.914,0,0,1.465908895,0.141421356,1.020892855
1,22102402,44,High,1.5,Precise,0,15,18,6,42.7,89.9,4.4,18,15,6,89.9,42.7,4.4,2,0.681,0,L,18,89.9,136.416,138.423,139.103,139.106,0,1,1.067707825,0.141421356,1.54344492
1,22102402,45,High,1.5,Vague,1,14,16,32,17.3,64.9,7.5,14,32,16,17.3,7.5,64.9,1,1.212,0,L,14,17.3,139.608,141.643,142.855,142.858,0,0,1.465908895,12.09802555,0.833999734
1,22102402,46,High,1.5,Vague,1,15,18,20,42.7,89.9,2.6,15,18,20,42.7,89.9,2.6,1,0.864,0,L,15,42.7,143.361,144.056,144.919,144.921,0,0,1.067707825,0.141421356,0.571547607
1,22102402,47,High,1.5,Precise,0,14,18,7,17.3,89.9,2.2,14,18,7,17.3,89.9,2.2,2,0.769,0,D,18,89.9,145.424,146.95,147.719,147.722,0,1,1.465908895,0.141421356,0.40824829
1,22102402,48,High,1.5,Vague,1,14,16,20,17.3,64.9,2.6,20,14,16,2.6,17.3,64.9,1,0.795,0.001,D,14,17.3,148.224,148.916,149.712,149.714,0,0,1.465908895,12.09802555,0.571547607
1,22102402,49,High,1.5,Precise,0,10,18,6,31.7,89.9,4.4,10,6,18,31.7,4.4,89.9,2,1.021,0,R,18,89.9,150.216,153.138,154.159,154.161,0,1,1.219289411,0.141421356,1.54344492
1,22102402,50,High,1.5,Vague,1,15,18,22,42.7,89.9,4,18,15,22,89.9,42.7,4,2,0.861,0,L,18,89.9,154.664,156.09,156.951,156.954,0,0,1.067707825,0.141421356,2.02155056
1,22102402,51,High,1.5,Precise,0,16,17,6,64.9,90,4.4,17,6,16,90,4.4,64.9,2,0.611,0.001,L,17,90,157.456,159.941,160.551,160.554,0,1,12.09802555,0.047140452,1.54344492
1,22102402,52,High,1.5,Vague,1,15,17,22,42.7,90,4,22,15,17,4,42.7,90,2,0.617,0,R,17,90,161.056,163.19,163.807,163.81,0,0,1.067707825,0.047140452,2.02155056
1,22102402,53,High,1.5,Precise,0,15,16,7,42.7,64.9,2.2,7,16,15,2.2,64.9,42.7,1,0.828,0.001,R,15,42.7,164.312,167.02,167.847,167.85,0,1,1.067707825,12.09802555,0.40824829
1,22102402,54,High,1.5,Precise,0,14,17,8,17.3,90,6.6,14,17,8,17.3,90,6.6,2,0.592,0.001,D,17,90,168.354,170.071,170.664,170.666,0,1,1.465908895,0.047140452,2.662079388
1,22102402,55,High,1.5,Vague,1,16,17,20,64.9,90,2.6,20,17,16,2.6,90,64.9,2,0.506,0,D,17,90,171.169,174.133,174.639,174.642,0,0,12.09802555,0.047140452,0.571547607
1,22102402,56,High,1.5,Precise,0,14,18,6,17.3,89.9,4.4,6,14,18,4.4,17.3,89.9,2,0.771,0,R,18,89.9,175.145,175.692,176.463,176.466,0,1,1.465908895,0.141421356,1.54344492
1,22102402,57,High,1.5,Precise,0,14,16,13,17.3,64.9,2.4,14,13,16,17.3,2.4,64.9,2,1.237,0,R,16,64.9,176.968,179.066,180.303,180.306,0,1,1.465908895,12.09802555,0.865383666
1,22102402,58,High,1.5,Precise,0,10,18,7,31.7,89.9,2.2,7,18,10,2.2,89.9,31.7,1,0.903,0.001,R,10,31.7,180.809,183.729,184.632,184.634,0,1,1.219289411,0.141421356,0.40824829
1,22102402,59,High,1.5,Vague,1,10,18,27,31.7,89.9,6.4,27,10,18,6.4,31.7,89.9,2,0.522,0,R,18,89.9,185.136,186.742,187.263,187.266,0,0,1.219289411,0.141421356,0.804155872
1,22102402,60,High,1.5,Vague,1,16,17,36,64.9,90,9.3,16,17,36,64.9,90,9.3,2,0.578,0,D,17,90,187.768,189.646,190.224,190.226,0,0,12.09802555,0.047140452,1.020892855
1,22102402,61,High,1.5,Precise,0,15,17,6,42.7,90,4.4,6,15,17,4.4,42.7,90,2,0.712,0,R,17,90,201.208,203.879,204.591,204.594,0,1,1.067707825,0.047140452,1.54344492
1,22102402,62,High,1.5,Vague,1,14,10,20,17.3,31.7,2.6,14,20,10,17.3,2.6,31.7,1,0.699,0,L,14,17.3,205.097,206.021,206.719,206.722,0,0,1.465908895,1.219289411,0.571547607
1,22102402,63,High,1.5,Vague,1,14,17,22,17.3,90,4,14,22,17,17.3,4,90,2,0.631,0.001,R,17,90,207.224,209.368,210,210.002,0,0,1.465908895,0.047140452,2.02155056
1,22102402,64,High,1.5,Vague,1,10,18,20,31.7,89.9,2.6,10,20,18,31.7,2.6,89.9,2,0.735,0.001,R,18,89.9,210.505,211.48,212.216,212.218,0,0,1.219289411,0.141421356,0.571547607
1,22102402,65,High,1.5,Precise,0,14,15,9,17.3,42.7,6.4,15,14,9,42.7,17.3,6.4,2,0.881,0.001,L,15,42.7,212.72,213.63,214.512,214.514,0,1,1.465908895,1.067707825,2.407396011
1,22102402,66,High,1.5,Precise,0,10,16,7,31.7,64.9,2.2,7,16,10,2.2,64.9,31.7,1,0.932,0,R,10,31.7,215.017,215.803,216.735,216.738,0,1,1.219289411,12.09802555,0.40824829
1,22102402,67,High,1.5,Precise,0,10,17,13,31.7,90,2.4,13,10,17,2.4,31.7,90,2,0.631,0.001,R,17,90,217.24,220.064,220.696,220.698,0,1,1.219289411,0.047140452,0.865383666
1,22102402,68,High,1.5,Vague,1,15,18,23,42.7,89.9,2.3,23,15,18,2.3,42.7,89.9,2,0.792,0,R,18,89.9,221.2,221.895,222.688,222.69,0,0,1.067707825,0.141421356,0.899382504
1,22102402,69,High,1.5,Vague,1,16,17,27,64.9,90,6.4,16,17,27,64.9,90,6.4,2,0.64,0.001,D,17,90,223.193,223.824,224.464,224.466,0,0,12.09802555,0.047140452,0.804155872
1,22102402,70,High,1.5,Vague,1,18,17,27,89.9,90,6.4,18,17,27,89.9,90,6.4,2,0.522,0,D,17,90,224.969,225.725,226.247,226.25,0,0,0.141421356,0.047140452,0.804155872
1,22102402,71,High,1.5,Precise,0,16,18,13,64.9,89.9,2.4,13,16,18,2.4,64.9,89.9,2,0.692,0,R,18,89.9,226.752,229.076,229.767,229.77,0,1,12.09802555,0.141421356,0.865383666
1,22102402,72,High,1.5,Precise,0,16,18,8,64.9,89.9,6.6,8,18,16,6.6,89.9,64.9,2,0.748,0,D,18,89.9,230.272,231.059,231.808,231.81,0,1,12.09802555,0.141421356,2.662079388
1,22102402,73,High,1.5,Vague,1,10,18,36,31.7,89.9,9.3,36,18,10,9.3,89.9,31.7,2,0.486,0.001,D,18,89.9,232.313,234.914,235.4,235.402,0,0,1.219289411,0.141421356,1.020892855
1,22102402,74,High,1.5,Vague,1,15,16,32,42.7,64.9,7.5,15,16,32,42.7,64.9,7.5,3,0.704,0.001,R,32,7.5,235.905,238.32,239.024,239.026,0,0,1.067707825,12.09802555,0.833999734
1,22102402,75,High,1.5,Precise,0,14,16,12,17.3,64.9,11.7,14,12,16,17.3,11.7,64.9,1,1.133,0,L,14,17.3,239.528,242.514,243.647,243.65,0,1,1.465908895,12.09802555,3.024345659
1,22102402,76,High,1.5,Precise,0,10,18,12,31.7,89.9,11.7,18,12,10,89.9,11.7,31.7,2,0.613,0.001,L,18,89.9,244.153,246.866,247.48,247.482,0,1,1.219289411,0.141421356,3.024345659
1,22102402,78,High,1.5,Vague,1,10,16,36,31.7,64.9,9.3,36,16,10,9.3,64.9,31.7,2,1.437,0,D,16,64.9,253.604,254.483,255.92,255.923,0,0,1.219289411,12.09802555,1.020892855
1,22102402,79,High,1.5,Vague,1,15,17,23,42.7,90,2.3,15,23,17,42.7,2.3,90,2,0.576,0,R,17,90,256.427,258.896,259.471,259.474,0,0,1.067707825,0.047140452,0.899382504
1,22102402,80,High,1.5,Vague,1,15,18,36,42.7,89.9,9.3,15,18,36,42.7,89.9,9.3,1,0.929,0,L,15,42.7,259.977,261.942,262.871,262.874,0,0,1.067707825,0.141421356,1.020892855
1,22102402,81,High,1.5,Precise,0,18,17,12,89.9,90,11.7,17,12,18,90,11.7,89.9,2,0.597,0,L,17,90,263.377,266.002,266.599,266.602,0,1,0.141421356,0.047140452,3.024345659
1,22102402,82,High,1.5,Vague,1,15,16,36,42.7,64.9,9.3,16,36,15,64.9,9.3,42.7,1,0.73,0,R,15,42.7,267.105,268.437,269.167,269.17,0,0,1.067707825,12.09802555,1.020892855
1,22102402,83,High,1.5,Vague,1,14,17,23,17.3,90,2.3,23,17,14,2.3,90,17.3,2,0.746,0,D,17,90,269.673,272.054,272.799,272.802,0,0,1.465908895,0.047140452,0.899382504
1,22102402,84,High,1.5,Vague,1,15,16,20,42.7,64.9,2.6,15,16,20,42.7,64.9,2.6,1,0.683,0.001,L,15,42.7,273.305,276.293,276.976,276.978,0,0,1.067707825,12.09802555,0.571547607
1,22102402,85,High,1.5,Precise,0,14,17,13,17.3,90,2.4,13,14,17,2.4,17.3,90,2,0.529,0.001,R,17,90,277.481,279.374,279.904,279.906,0,1,1.465908895,0.047140452,0.865383666
1,22102402,86,High,1.5,Precise,0,15,17,13,42.7,90,2.4,13,17,15,2.4,90,42.7,2,0.535,0.001,D,17,90,280.408,281.529,282.064,282.066,0,1,1.067707825,0.047140452,0.865383666
1,22102402,87,High,1.5,Vague,1,14,17,27,17.3,90,6.4,17,27,14,90,6.4,17.3,2,0.48,0,L,17,90,282.569,283.544,284.023,284.026,0,0,1.465908895,0.047140452,0.804155872
1,22102402,88,High,1.5,Precise,0,14,16,6,17.3,64.9,4.4,6,14,16,4.4,17.3,64.9,1,0.725,0,D,14,17.3,284.529,287.41,288.135,288.138,0,1,1.465908895,12.09802555,1.54344492
1,22102402,89,High,1.5,Vague,1,14,17,32,17.3,90,7.5,17,32,14,90,7.5,17.3,2,0.548,0,L,17,90,288.641,290.763,291.311,291.314,0,0,1.465908895,0.047140452,0.833999734
1,22102402,90,High,1.5,Vague,1,14,15,23,17.3,42.7,2.3,23,14,15,2.3,17.3,42.7,2,0.695,0.001,R,15,42.7,291.816,292.896,293.592,293.594,0,0,1.465908895,1.067707825,0.899382504
1,22102402,91,High,1.5,Precise,0,18,17,9,89.9,90,6.4,17,18,9,90,89.9,6.4,2,0.527,0,L,17,90,294.097,296.809,297.336,297.338,0,1,0.141421356,0.047140452,2.407396011
1,22102402,92,High,1.5,Vague,1,10,15,20,31.7,42.7,2.6,10,15,20,31.7,42.7,2.6,2,0.61,0,D,15,42.7,297.842,299.125,299.736,299.738,0,0,1.219289411,1.067707825,0.571547607
1,22102402,93,High,1.5,Vague,1,10,18,32,31.7,89.9,7.5,18,10,32,89.9,31.7,7.5,2,0.609,0,L,18,89.9,300.241,302.439,303.048,303.05,0,0,1.219289411,0.141421356,0.833999734
1,22102402,94,High,1.5,Vague,1,10,17,22,31.7,90,4,22,17,10,4,90,31.7,2,0.507,0,D,17,90,303.552,305.669,306.176,306.178,0,0,1.219289411,0.047140452,2.02155056
1,22102402,95,High,1.5,Vague,1,10,17,36,31.7,90,9.3,36,17,10,9.3,90,31.7,2,0.486,0.001,D,17,90,306.681,309.17,309.656,309.658,0,0,1.219289411,0.047140452,1.020892855
1,22102402,96,High,1.5,Precise,0,14,16,9,17.3,64.9,6.4,16,9,14,64.9,6.4,17.3,1,0.972,0.001,R,14,17.3,310.161,311.42,312.392,312.394,0,1,1.465908895,12.09802555,2.407396011
1,22102402,97,High,1.5,Precise,0,16,17,12,64.9,90,11.7,16,12,17,64.9,11.7,90,2,0.578,0.001,R,17,90,312.896,314.87,315.448,315.45,0,1,12.09802555,0.047140452,3.024345659
1,22102402,98,High,1.5,Vague,1,10,17,20,31.7,90,2.6,20,10,17,2.6,31.7,90,2,0.536,0,R,17,90,315.953,318.384,318.919,318.922,0,0,1.219289411,0.047140452,0.571547607
1,22102402,99,High,1.5,Precise,0,15,18,9,42.7,89.9,6.4,15,18,9,42.7,89.9,6.4,1,0.839,0,L,15,42.7,319.425,320.112,320.952,320.954,0,1,1.067707825,0.141421356,2.407396011
1,22102402,100,High,1.5,Vague,1,16,18,32,64.9,89.9,7.5,18,16,32,89.9,64.9,7.5,2,0.663,0,L,18,89.9,321.458,324.001,324.664,324.666,0,0,12.09802555,0.141421356,0.833999734
1,22102402,101,High,1.5,Vague,1,10,18,23,31.7,89.9,2.3,10,18,23,31.7,89.9,2.3,2,0.526,0.001,D,18,89.9,325.17,327.369,327.896,327.898,0,0,1.219289411,0.141421356,0.899382504
1,22102402,102,High,1.5,Precise,0,15,16,9,42.7,64.9,6.4,16,9,15,64.9,6.4,42.7,1,1.155,0,R,15,42.7,328.401,329.621,330.776,330.778,0,1,1.067707825,12.09802555,2.407396011
1,22102402,103,High,1.5,Precise,0,14,18,8,17.3,89.9,6.6,8,18,14,6.6,89.9,17.3,1,0.656,0,R,14,17.3,331.28,334.055,334.711,334.714,0,1,1.465908895,0.141421356,2.662079388
1,22102402,104,High,1.5,Vague,1,15,17,32,42.7,90,7.5,17,15,32,90,42.7,7.5,2,0.572,0,L,17,90,335.217,337.58,338.151,338.154,0,0,1.067707825,0.047140452,0.833999734
1,22102402,105,High,1.5,Precise,0,15,18,12,42.7,89.9,11.7,18,12,15,89.9,11.7,42.7,2,0.509,0,L,18,89.9,338.657,340.17,340.679,340.682,0,1,1.067707825,0.141421356,3.024345659
1,22102402,106,High,1.5,Precise,0,14,17,7,17.3,90,2.2,14,7,17,17.3,2.2,90,2,0.625,0.001,R,17,90,341.184,342.03,342.656,342.658,0,1,1.465908895,0.047140452,0.40824829
1,22102402,107,High,1.5,Vague,1,16,18,22,64.9,89.9,4,18,16,22,89.9,64.9,4,2,0.713,0,L,18,89.9,343.161,345.519,346.232,346.234,0,0,12.09802555,0.141421356,2.02155056
1,22102402,108,High,1.5,Precise,0,15,18,8,42.7,89.9,6.6,18,15,8,89.9,42.7,6.6,2,0.603,0.001,L,18,89.9,346.737,348.916,349.52,349.523,0,1,1.067707825,0.141421356,2.662079388
1,22102402,109,High,1.5,Precise,0,10,15,12,31.7,42.7,11.7,10,12,15,31.7,11.7,42.7,2,0.759,0.001,R,15,42.7,350.026,351.681,352.44,352.442,0,1,1.219289411,1.067707825,3.024345659
1,22102402,110,High,1.5,Precise,0,10,17,9,31.7,90,6.4,10,9,17,31.7,6.4,90,2,0.546,0.001,R,17,90,352.946,355.894,356.44,356.442,0,1,1.219289411,0.047140452,2.407396011
1,22102402,111,High,1.5,Vague,1,16,17,22,64.9,90,4,16,22,17,64.9,4,90,2,0.554,0.001,R,17,90,356.945,359.59,360.144,360.146,0,0,12.09802555,0.047140452,2.02155056
1,22102402,112,High,1.5,Precise,0,14,10,7,17.3,31.7,2.2,7,14,10,2.2,17.3,31.7,1,0.987,0,D,14,17.3,360.649,361.245,362.232,362.234,0,1,1.465908895,1.219289411,0.40824829
1,22102402,113,High,1.5,Precise,0,14,16,8,17.3,64.9,6.6,14,8,16,17.3,6.6,64.9,1,0.676,0.001,L,14,17.3,362.737,365.379,366.056,366.058,0,1,1.465908895,12.09802555,2.662079388
1,22102402,114,High,1.5,Vague,1,18,17,22,89.9,90,4,22,17,18,4,90,89.9,2,0.699,0.001,D,17,90,366.561,367.389,368.088,368.09,0,0,0.141421356,0.047140452,2.02155056
1,22102402,115,High,1.5,Precise,0,10,15,6,31.7,42.7,4.4,15,10,6,42.7,31.7,4.4,2,0.833,0,L,15,42.7,368.593,370.174,371.007,371.01,0,1,1.219289411,1.067707825,1.54344492
1,22102402,116,High,1.5,Precise,0,10,15,8,31.7,42.7,6.6,15,10,8,42.7,31.7,6.6,2,0.606,0.001,L,15,42.7,371.513,372.273,372.88,372.882,0,1,1.219289411,1.067707825,2.662079388
1,22102402,117,High,1.5,Vague,1,14,18,23,17.3,89.9,2.3,23,18,14,2.3,89.9,17.3,2,0.619,0.001,D,18,89.9,373.385,374.325,374.944,374.946,0,0,1.465908895,0.141421356,0.899382504
1,22102402,118,High,1.5,Precise,0,10,17,12,31.7,90,11.7,12,17,10,11.7,90,31.7,2,0.542,0,D,17,90,375.449,377.394,377.936,377.938,0,1,1.219289411,0.047140452,3.024345659
1,22102402,119,High,1.5,Vague,1,14,17,20,17.3,90,2.6,14,17,20,17.3,90,2.6,2,0.472,0.001,D,17,90,378.441,380.384,380.856,380.858,0,0,1.465908895,0.047140452,0.571547607
1,22102402,120,High,1.5,Vague,1,10,16,22,31.7,64.9,4,22,16,10,4,64.9,31.7,2,1.347,0,D,16,64.9,381.361,381.965,383.312,383.314,0,0,1.219289411,12.09802555,2.02155056
1,22102402,121,High,1.5,Precise,0,16,17,13,64.9,90,2.4,17,13,16,90,2.4,64.9,2,0.551,0.001,L,17,90,395.173,397.872,398.424,398.426,0,1,12.09802555,0.047140452,0.865383666
1,22102402,122,High,1.5,Precise,0,10,16,13,31.7,64.9,2.4,10,16,13,31.7,64.9,2.4,2,1.04,0.001,D,16,64.9,398.928,400.096,401.136,401.138,0,1,1.219289411,12.09802555,0.865383666
1,22102402,123,High,1.5,Vague,1,10,15,32,31.7,42.7,7.5,32,10,15,7.5,31.7,42.7,2,1.191,0,R,15,42.7,401.641,402.344,403.535,403.538,0,0,1.219289411,1.067707825,0.833999734
1,22102402,124,High,1.5,Precise,0,16,18,7,64.9,89.9,2.2,18,16,7,89.9,64.9,2.2,2,0.647,0.001,L,18,89.9,404.042,404.873,405.52,405.522,0,1,12.09802555,0.141421356,0.40824829
1,22102402,125,High,1.5,Precise,0,10,18,9,31.7,89.9,6.4,18,10,9,89.9,31.7,6.4,2,0.58,0,L,18,89.9,406.026,408.956,409.536,409.538,0,1,1.219289411,0.141421356,2.407396011
1,22102402,126,High,1.5,Precise,0,15,16,13,42.7,64.9,2.4,16,15,13,64.9,42.7,2.4,1,0.996,0.001,D,15,42.7,410.041,410.772,411.768,411.77,0,1,1.067707825,12.09802555,0.865383666
1,22102402,127,High,1.5,Vague,1,16,17,23,64.9,90,2.3,17,23,16,90,2.3,64.9,2,0.528,0.001,L,17,90,412.272,413.391,413.92,413.922,0,0,12.09802555,0.047140452,0.899382504
